Style Pair,Style 1,Style 2,Style 1 Weight,Style 2 Weight,SSIM vs Content,Image Path
monet1 + monet2,monet1,monet2,0.2,0.8,0.6057388782501221,outputs\blended_monet1_monet2_20_80.jpg
monet1 + monet2,monet1,monet2,0.3,0.7,0.6139143705368042,outputs\blended_monet1_monet2_30_70.jpg
monet1 + monet2,monet1,monet2,0.5,0.5,0.6144513487815857,outputs\blended_monet1_monet2_50_50.jpg
monet1 + monet2,monet1,monet2,0.7,0.3,0.5823962092399597,outputs\blended_monet1_monet2_70_30.jpg
monet1 + monet2,monet1,monet2,0.8,0.2,0.5592437386512756,outputs\blended_monet1_monet2_80_20.jpg
monet1 + monet3,monet1,monet3,0.2,0.8,0.5454832315444946,outputs\blended_monet1_monet3_20_80.jpg
monet1 + monet3,monet1,monet3,0.3,0.7,0.5403403639793396,outputs\blended_monet1_monet3_30_70.jpg
monet1 + monet3,monet1,monet3,0.5,0.5,0.5332733988761902,outputs\blended_monet1_monet3_50_50.jpg
monet1 + monet3,monet1,monet3,0.7,0.3,0.5220552086830139,outputs\blended_monet1_monet3_70_30.jpg
monet1 + monet3,monet1,monet3,0.8,0.2,0.5168574452400208,outputs\blended_monet1_monet3_80_20.jpg
monet1 + vangogh1,monet1,vangogh1,0.2,0.8,0.5288450717926025,outputs\blended_monet1_vangogh1_20_80.jpg
monet1 + vangogh1,monet1,vangogh1,0.3,0.7,0.5278453826904297,outputs\blended_monet1_vangogh1_30_70.jpg
monet1 + vangogh1,monet1,vangogh1,0.5,0.5,0.5234437584877014,outputs\blended_monet1_vangogh1_50_50.jpg
monet1 + vangogh1,monet1,vangogh1,0.7,0.3,0.5199204087257385,outputs\blended_monet1_vangogh1_70_30.jpg
monet1 + vangogh1,monet1,vangogh1,0.8,0.2,0.5181992650032043,outputs\blended_monet1_vangogh1_80_20.jpg
monet1 + vangogh2,monet1,vangogh2,0.2,0.8,0.5224013328552246,outputs\blended_monet1_vangogh2_20_80.jpg
monet1 + vangogh2,monet1,vangogh2,0.3,0.7,0.5249289870262146,outputs\blended_monet1_vangogh2_30_70.jpg
monet1 + vangogh2,monet1,vangogh2,0.5,0.5,0.5293326377868652,outputs\blended_monet1_vangogh2_50_50.jpg
monet1 + vangogh2,monet1,vangogh2,0.7,0.3,0.5283638834953308,outputs\blended_monet1_vangogh2_70_30.jpg
monet1 + vangogh2,monet1,vangogh2,0.8,0.2,0.523414671421051,outputs\blended_monet1_vangogh2_80_20.jpg
monet1 + vangogh3,monet1,vangogh3,0.2,0.8,0.5268545746803284,outputs\blended_monet1_vangogh3_20_80.jpg
monet1 + vangogh3,monet1,vangogh3,0.3,0.7,0.5288275480270386,outputs\blended_monet1_vangogh3_30_70.jpg
monet1 + vangogh3,monet1,vangogh3,0.5,0.5,0.5227717757225037,outputs\blended_monet1_vangogh3_50_50.jpg
monet1 + vangogh3,monet1,vangogh3,0.7,0.3,0.5187768340110779,outputs\blended_monet1_vangogh3_70_30.jpg
monet1 + vangogh3,monet1,vangogh3,0.8,0.2,0.5140134692192078,outputs\blended_monet1_vangogh3_80_20.jpg
monet2 + monet3,monet2,monet3,0.2,0.8,0.5922839045524597,outputs\blended_monet2_monet3_20_80.jpg
monet2 + monet3,monet2,monet3,0.3,0.7,0.6118127703666687,outputs\blended_monet2_monet3_30_70.jpg
monet2 + monet3,monet2,monet3,0.5,0.5,0.623441219329834,outputs\blended_monet2_monet3_50_50.jpg
monet2 + monet3,monet2,monet3,0.7,0.3,0.6138898134231567,outputs\blended_monet2_monet3_70_30.jpg
monet2 + monet3,monet2,monet3,0.8,0.2,0.6064206957817078,outputs\blended_monet2_monet3_80_20.jpg
monet2 + vangogh1,monet2,vangogh1,0.2,0.8,0.5794352889060974,outputs\blended_monet2_vangogh1_20_80.jpg
monet2 + vangogh1,monet2,vangogh1,0.3,0.7,0.6019434332847595,outputs\blended_monet2_vangogh1_30_70.jpg
monet2 + vangogh1,monet2,vangogh1,0.5,0.5,0.6219100952148438,outputs\blended_monet2_vangogh1_50_50.jpg
monet2 + vangogh1,monet2,vangogh1,0.7,0.3,0.6174737215042114,outputs\blended_monet2_vangogh1_70_30.jpg
monet2 + vangogh1,monet2,vangogh1,0.8,0.2,0.6085577011108398,outputs\blended_monet2_vangogh1_80_20.jpg
monet2 + vangogh2,monet2,vangogh2,0.2,0.8,0.5618101954460144,outputs\blended_monet2_vangogh2_20_80.jpg
monet2 + vangogh2,monet2,vangogh2,0.3,0.7,0.5805878639221191,outputs\blended_monet2_vangogh2_30_70.jpg
monet2 + vangogh2,monet2,vangogh2,0.5,0.5,0.6033036708831787,outputs\blended_monet2_vangogh2_50_50.jpg
monet2 + vangogh2,monet2,vangogh2,0.7,0.3,0.6057617664337158,outputs\blended_monet2_vangogh2_70_30.jpg
monet2 + vangogh2,monet2,vangogh2,0.8,0.2,0.601291835308075,outputs\blended_monet2_vangogh2_80_20.jpg
monet2 + vangogh3,monet2,vangogh3,0.2,0.8,0.5667474865913391,outputs\blended_monet2_vangogh3_20_80.jpg
monet2 + vangogh3,monet2,vangogh3,0.3,0.7,0.5823884606361389,outputs\blended_monet2_vangogh3_30_70.jpg
monet2 + vangogh3,monet2,vangogh3,0.5,0.5,0.6026670336723328,outputs\blended_monet2_vangogh3_50_50.jpg
monet2 + vangogh3,monet2,vangogh3,0.7,0.3,0.602282702922821,outputs\blended_monet2_vangogh3_70_30.jpg
monet2 + vangogh3,monet2,vangogh3,0.8,0.2,0.5963468551635742,outputs\blended_monet2_vangogh3_80_20.jpg
